case_text,label
"Le 10 mars 2022, M. Pierre Dupont, un entrepreneur établi à Genève, a déposé une demande auprès du Tribunal fédéral suisse pour contester une décision du Tribunal administratif fédéral (TAF) qui a rejeté son recours contre une décision de l'Office fédéral de l'environnement (OFEV). 

M. Dupont avait obtenu une autorisation de construire un bâtiment industriel à proximité d'une réserve naturelle protégée, mais sans respecter les exigences légales en matière d'évaluation de l'impact environnemental. L'OFEV avait exigé que M. Dupont réalise une étude d'impact environnemental complète avant de commencer les travaux, mais celui-ci a refusé, arguant que cela représentait une charge financière excessive.

Malgré l'absence d'étude d'impact environnemental, M. Dupont a commencé la construction du bâtiment, ce qui a entraîné des dommages à la réserve naturelle et à la faune locale. L'OFEV a alors retiré l'autorisation de construire et a ordonné à M. Dupont de démolir le bâtiment.

M. Dupont a contesté cette décision auprès",0

"A. Y., née en 1962, est titulaire d’un diplôme d’enseignante reconnu en Suisse et exerce dans le canton de Genève depuis 1990. En mars 2019, le Département de l’instruction publique du canton de Genève (ci-après: le Département) lui a infligé une suspension de trois mois pour avoir dénoncé publiquement des conditions de travail jugées inappropriées. Par arrêt du 15 septembre 2019, la Cour de justice administrative du canton de Genève (ci-après: la Cour cantonale) a confirmé la sanction. B. Par recours en matière de droit public, Y. demande au Tribunal fédéral d’annuler la suspension, arguant d’une violation de la liberté d’expression. Le Département conclut au rejet du recours. Le Tribunal fédéral admet le recours, considérant que la sanction portait une atteinte disproportionnée à la liberté d’expression de l’enseignante.",1

"A. Z., né en 1975, est propriétaire d’un immeuble à Lausanne. En 2021, la Municipalité de Lausanne (ci-après: la Municipalité) a ordonné la démolition d’une extension construite sans permis. Z. a contesté la décision, affirmant que l’extension bénéficiait d’une autorisation tacite. Par arrêt du 10 janvier 2022, le Tribunal cantonal du canton de Vaud a rejeté son recours. B. Par recours en matière de droit public, Z._ demande au Tribunal fédéral d’annuler la décision de démolition. La Municipalité conclut au rejet du recours. Le Tribunal fédéral admet le recours, constatant que l’autorisation tacite avait été acquise en l’absence de réponse de la Municipalité dans le délai légal.",1

"A. M., née en 1980, travaille comme infirmière à Neuchâtel. En 2018, l’Hôpital cantonal de Neuchâtel (ci-après: l’Hôpital) l’a licenciée sans préavis, invoquant des absences répétées. M. a contesté le licenciement, expliquant que ses absences étaient justifiées par des certificats médicaux. Par arrêt du 5 juin 2019, le Tribunal cantonal du canton de Neuchâtel a confirmé le licenciement. B. Par recours en matière de droit public, M._ demande au Tribunal fédéral d’annuler le licenciement. L’Hôpital conclut au rejet du recours. Le Tribunal fédéral admet le recours, estimant que le licenciement était injustifié au vu des justificatifs médicaux produits.",1

"A. S., né en 1968, est titulaire d’un permis C et réside à Zurich depuis 1995. En 2020, l’Office cantonal de la population de Zurich (ci-après: l’Office) a décidé de révoquer son permis en raison d’une condamnation mineure pour excès de vitesse. S. a contesté la décision, arguant de son intégration réussie et de la disproportion de la mesure. Par arrêt du 12 mars 2021, le Tribunal administratif du canton de Zurich a rejeté son recours. B. Par recours en matière de droit public, S._ demande au Tribunal fédéral d’annuler la révocation du permis. L’Office conclut au rejet du recours. Le Tribunal fédéral admet le recours, considérant la mesure disproportionnée au regard de la faute commise et de l’intégration de S._.",1

