case_text,label
"Faits: Faits : 
A. La société B. Sàrl, ayant son siège à Lausanne, a entrepris des travaux de construction d'un immeuble de bureaux au 12, route de Berne, à Lausanne, sans obtenir les autorisations nécessaires de la part de la commune. 
Les travaux ont commencé en février 2020 et se sont poursuivis jusqu'en août 2022, malgré les avertissements répétés de la commune de Lausanne. 
Le 10 mars 2022, la commune de Lausanne a délivré un ordre de suspension des travaux, que la société B. Sàrl a refusé de respecter. 
Le 20 mai 2022, la commune de Lausanne a adressé à la société B. Sàrl une mise en demeure de régulariser sa situation administrative, en lui demandant de présenter les plans et les documents nécessaires pour obtenir les autorisations requises. 
La société B. Sàrl n'a pas répondu à cette mise en demeure et a poursuivi les travaux sans autorisation. 
Le 15 septembre 2022, la commune de Lausanne a infligé à la société B. Sàrl une amende de 100 000 francs suisses pour non-respect des",0
"Faits: Facts : 

A. La société Bâtiments et Rénovations SA (ci-après : B._ SA) a entrepris des travaux de construction d'un immeuble de logements sur la parcelle n° 1234 de la commune de Lausanne, sans avoir obtenu les autorisations nécessaires auprès des autorités compétentes. 

B. Le 10 février 2020, la commune de Lausanne a reçu une plainte d'un riverain qui se plaignait de nuisances sonores et de pollution de l'air occasionnées par les travaux de construction. 

C. Le 15 mars 2020, le Service de l'environnement et de l'énergie de la commune de Lausanne (ci-après : SEE) a effectué une inspection sur le chantier et a constaté que les travaux étaient effectués sans autorisation de construire, sans évaluation des impacts environnementaux et sans mesures de protection de l'environnement. 

D. Le même jour, le SEE a dressé un procès-verbal constatant les infractions et a ordonné à B._ SA de suspendre immédiatement les travaux. 

E. B._ SA n'a pas suspended les travaux et a continué à construire l'immeuble, malgré les réquisitions du SEE. 

F.",0
"Faits: Faits : 

A. Le 10 mars 2018, M. X., un résident suisse, a acheté un appartement dans un immeuble situé à Zurich, pour un montant de 800 000 francs suisses. Le vendeur, la société Y. SA, lui a garanti que l'appartement était en bon état et qu'il n'y avait pas de défauts majeurs. Cependant, après avoir emménagé, M. X. a découvert que l'appartement avait des problèmes de moisissure et d'humidité importants, qui n'avaient pas été mentionnés dans le contrat de vente.

B. M. X. a contacté la société Y. SA pour signaler les problèmes et demander une réparation. Cependant, la société a refusé de prendre en charge les réparations, arguant que les défauts n'avaient pas été mentionnés dans le contrat de vente et que M. X. avait accepté l'appartement en l'état.

C. M. X. a décidé de saisir le tribunal pour demander une réparation pour les défauts de l'appartement. Il a introduit une action en justice contre la société Y. SA, demandant une indemnisation pour les coûts de réparation et les pert",1
"Faits: Faits : 

A. La société B. SA a entrepris des travaux de construction d'un immeuble de bureaux à Zurich sans obtenir les autorisations nécessaires des autorités compétentes. Les travaux ont commencé le 1er janvier 2022 et devaient être achevés dans un délai de 12 mois. 

B. Le 15 mars 2022, l'Office fédéral de l'environnement (OFEV) a effectué une inspection sur le site de construction et a constaté que les travaux étaient en cours sans que les exigences légales en matière de protection de l'environnement et de sécurité au travail aient été respectées. L'OFEV a notamment constaté que les déchets de construction étaient stockés de manière non conforme et que les travailleurs n'étaient pas équipés de protections individuelles appropriées. 

C. Le 20 avril 2022, l'OFEV a adressé à la société B. SA une mise en demeure lui ordonnant de suspendre immédiatement les travaux et de prendre les mesures nécessaires pour remédier aux infractions constatées. La société B. SA n'a pas répondu à cette mise en demeure et a continué les travaux. 

D. Le 10 juin 2022, l'OFEV a infl",0
"Faits: Fais : 

A. Mme Y., née en 1985, est employée par la société X. SA, entreprise de services informatiques, depuis 2010. Elle occupe actuellement le poste de chefs de projet et est salariée à temps plein. 

B. Le 1er mars 2022, Mme Y. a informé son employeur qu'elle était enceinte et qu'elle attendait un enfant pour le mois de novembre de la même année. 

C. Le 15 mars 2022, la société X. SA a informé Mme Y. qu'en raison de la crise économique actuelle et de la nécessité de réduire les coûts, la société devait procéder à des licenciements et que Mme Y. faisait partie des salariés dont le contrat de travail allait être résilié. 

D. Mme Y. a contesté cette décision, arguant que son licenciement était discriminatoire et qu'il violait les dispositions de la loi fédérale sur l'égalité entre femmes et hommes (LEg). Elle a également fait valoir que son état de grossesse ne pouvait pas être un motif de licenciement et que la société X. SA avait l'obligation de la protéger contre les discriminations. 

E. Le 20 avril 2022,",1
"Faits: Faits : 

A. La société X._ SA, propriétaire d'un immeuble situé à Zurich, a entrepris des travaux de construction sans autorisation préalable des autorités compétentes. Les travaux ont commencé le 1er mars 2022 et ont duré environ six mois. 

B. Lors d'une inspection le 15 juin 2022, la ville de Zurich a constaté que les travaux de construction avaient été entrepris sans permis de construire et sans respecter les normes de sécurité et d'environnement. Le Service de l'environnement de la ville de Zurich a demandé à la société X._ SA de cesser les travaux immédiatement et de présenter un plan de conformité dans un délai de 30 jours.

C. Malgré cette demande, la société X._ SA a continué les travaux de construction sans autorisation préalable et sans respecter les normes de sécurité et d'environnement. Le 20 septembre 2022, la ville de Zurich a infligé à la société X._ SA une amende administrative de 100'000 francs pour non-respect des règlements de construction et de sécurité.

D. La société X._ SA a formé un recours contre cette décision auprès du Tribunal administratif de la ville de Zurich, qui a rejeté le recours",0
"Faits: Facts : 

A. La société B._ SA a entrepris des travaux de construction d'un immeuble de bureaux dans la commune de Lausanne, sans obtenir les autorisations nécessaires des autorités compétentes. Les travaux ont débuté le 1er mars 2020 et se sont poursuivis jusqu'au 31 décembre 2020.

B. Le 15 juin 2020, le Service de l'environnement et de l'énergie de la commune de Lausanne (ci-après : le SEE) a effectué une inspection sur le site de construction et a constaté que les travaux étaient en cours sans les autorisations requises. Le SEE a notamment constaté que les travaux de démolition n'avaient pas été précédés d'un diagnostic amiante, contrairement aux dispositions de l'ordonnance sur la protection des travailleurs contre les risques liés à l'amiante.

C. Le 20 juillet 2020, le SEE a adressé à la société B._ SA un avertissement lui demandant de suspendre immédiatement les travaux et de se conformer aux dispositions légales en vigueur. La société B._ SA n'a pas répondu à cet avertissement et a poursuivi les travaux.

D. Le 10 septembre 2020, le SEE",0
"Faits: Faits :
A. La société B. Sàrl a exploité un restaurant à Lausanne, dans lequel elle a organisé des événements musicaux sans autorisation ni paiement des droits d'auteur aux ayants droit. Le 10 février 2020, la Société suisse des auteurs (SSA) a envoyé un courrier à la société B. Sàrl pour lui réclamer le paiement des droits d'auteur pour les périodes de 2018 et 2019, ainsi que pour les événements à venir. La société B. Sàrl n'a pas répondu à ce courrier et a continué à organiser des événements musicaux sans autorisation.

Le 20 mars 2020, la SSA a déposé une plainte auprès du Tribunal de première instance du canton de Vaud, demandant le paiement des droits d'auteur pour les périodes de 2018 et 2019, ainsi que pour les événements à venir. La société B. Sàrl a contesté la plainte, arguant qu'elle n'avait pas reçu de courrier de la SSA et qu'elle n'avait pas connaissance des droits d'auteur réclamés.

Le 15 juin 2020, le Tribunal de première instance du canton de Vaud a rendu un jugement dans lequel il a",0
"Faits: Faits :

A. La société X._ SA a entrepris des travaux de construction d'un immeuble de bureaux sur un terrain situé dans la commune de Zurich, sans avoir obtenu les autorisations nécessaires des autorités compétentes.

B. Le 10 mars 2020, la commune de Zurich a constaté que les travaux de construction avaient commencé sans autorisation et a demandé à la société X._ SA de suspendre immédiatement les travaux.

C. La société X._ SA a refusé de suspendre les travaux et a continué la construction de l'immeuble, en violation des règlements de construction et des autorisations nécessaires.

D. Le 20 avril 2020, la commune de Zurich a déposé une plainte contre la société X._ SA pour violation des règlements de construction et a demandé la démolition de l'immeuble.

E. La société X._ SA a formé un recours contre la décision de la commune de Zurich, arguant que les travaux de construction avaient été effectués avec les autorisations nécessaires et que la commune de Zurich avait agi de manière arbitraire.

F. Le Tribunal administratif du canton de Zurich a rejeté le recours de la société X._ SA, confirmant la décision de la commune de Zurich de suspendre les travaux de construction et",0
"Faits: Faits : 
A. La société XYZ SA, entreprise de construction, a entrepris des travaux de rénovation d'un immeuble situé à Genève sans obtenir les autorisations nécessaires auprès des autorités compétentes. Les travaux ont débuté le 10 janvier 2022 et ont inclus la démolition de plusieurs murs porteurs sans diagnostic préalable sur la structure de l'immeuble.

B. Le 20 février 2022, le Service de la sécurité et de la prévention des accidents du travail (SSPAT) a effectué une inspection sur le chantier et a constaté que les travaux étaient effectués sans les mesures de sécurité adéquates, notamment en ce qui concerne l'évacuation des déchets et la protection des personnes sur le chantier. Le SSPAT a également constaté que les plans de construction présentés par la société XYZ SA ne correspondaient pas à la réalité des travaux en cours.

C. Le 25 février 2022, le SSPAT a ordonné la suspension immédiate des travaux en raison des non-conformités constatées. La société XYZ SA a contesté cette décision et a poursuivi les travaux malgré l'interdiction.

D. Le 10 mars 2022, le SSPAT a effectué une nouvelle inspection et a constat",0
