case_text,label
"Faits: **Faits :**

M. Yves Dubuis, résidant à Genève, est un architecte renommé qui a été embauché par la municipalité de Lausanne pour la conception et la supervision de la construction d'un nouveau complexe sportif municipal. Le contrat, signé en janvier 2022, stipulait que les plans devaient être soumis à l'approbation de la commission de construction de la ville avant le début des travaux.

En mars 2022, M. Dubuis a présenté les plans à la commission, mais ceux-ci n'ont pas été approuvés en raison de non-conformités aux normes de sécurité et aux réglementations locales. Malgré les recommandations de la commission, M. Dubuis a ignoré les critiques et a débuté les travaux de construction en avril 2022 sans attendre l'approbation finale.

Après plusieurs inspections, la municipalité a découvert que le site de construction ne respectait pas les normes environnementales en vigueur, notamment en ce qui concerne la gestion des déchets et la protection des espèces protégées locales. M. Dubuis a également omis de présenter les plans révisés pour obtenir l'approbation nécessaire.

En décembre 2022, la municipalité a engagé des démarches légales contre M. Dubuis pour violation des termes du contrat et de la réglementation locale. M. Dubuis soutient que les retards étaient justifiés par des problèmes de santé personnels et des complications imprévues dans l",0
"Faits: Faits :

Monsieur et Madame Dupont, résidents à Genève, ont acheté une maison à la communauté de la région de Starnberg en Allemagne en 2015. Ils ont choisi cette propriété pour sa proximité avec la ville de Munich et ses environs pittoresques. La maison, d'une superficie de 200 mètres carrés, se trouve sur un terrain de l500 mètres carrés.

En 2018, Monsieur et Madame Dupont ont remarqué que leur voisin direct, Monsieur Schneider, avait commencé à couper des arbres qui se trouvaient le long de la frontière de sa propriété, ce qui nuisait à la vue et à la tranquillité de la propriété des Dupont. Les Dupont ont alors contacté M. Schneider pour exprimer leurs préoccupations, mais ce dernier a maintenu qu'il était en droit d'entreprendre ces travaux puisque les arbres étaient situés sur sa propre propriété.

Malgré les tentatives de dialogue, M. Schneider a continué de couper les arbres, ce qui a aggravé la situation pour les Dupont. En 2020, les Dupont ont engagé un avocat spécialisé en droit de la propriété pour les représenter. L'avocat a envoyé une lettre de mise en demeure à M. Schneider, mais aucune solution acceptable mutuellement n'a été trouvée.

En 2021, les Dupont ont décidé de déposer une plainte auprès du tribunal cantonal de Genève, exige",1
"Faits: Génération d'un cas juridique réaliste pour le Tribunal fédéral suisse :

Faits :

Le demandeur, Monsieur Jean Dupont, est un résident de Genève, né le 15 mars 1980. Le défendeur, la Société Immobilière Alpha SA, est une entreprise établie à Lausanne depuis 1995, spécialisée dans la gestion et la promotion immobilière.

En 2015, Monsieur Dupont a signé un contrat de bail avec la Société Immobilière Alpha SA pour la location de deux appartements situés au 123, Rue des Alpes, Lausanne. Le contrat de bail stipulait une durée de 5 ans, renouvelable par tacite reconduction, avec un loyer annuel de 40'000 francs suisses (CHF).

En 2020, la Société Immobilière Alpha SA a envoyé une notification à Monsieur Dupont, l'informant que le loyer serait augmenté de 25% à partir du 1er janvier 2021. Cette augmentation était justifiée par des travaux de rénovation et d'entretien récurrents effectués dans l'immeuble.

Monsieur Dupont a contesté cette augmentation, arguant que les travaux mentionnés avaient déjà été effectués avant la signature du contrat de bail et que le loyer convenu était déjà au-dessus de la moyenne des loyers dans le quartier. Il a tenté de négocier",1
"Faits: Faits :

Dans la ville de Zurich, le 14 mars 2023, monsieur Albert Müller, un résident local de 45 ans, a décidé de construire un appentis dans son jardin sans obtenir la permission nécessaire auprès des autorités locales. Selon le Code de la construction et des espaces du canton de Zurich, toute construction nécessitant plus de 10 mètres carrés de surface au sol doit faire l'objet d'une demande de permis préalable. L'appentis en question, mesurant 12 mètres carrés, n'a donc pas respecté cette réglementation.

En outre, Monsieur Müller a utilisé des matériaux de construction provenant de l'Allemagne, sans respecter les normes de sécurité requises par les lois suisses, notamment celles relatives à la résistance au feu et à l'isolation thermique. Ces matériaux, bien que moins coûteux, ne répondaient pas aux exigences de sécurité prévues par la loi fédérale sur l'assurance incendie et les normes de construction.

Enfin, lors de la construction de l'appentis, Monsieur Müller a embauché monsieur Paul Schneider, un travailleur intérimaire non déclaré et sans certificat de sécurité valide. Cette pratique est en violation de la loi sur le travail et des réglementations des Assurances sociales, qui exigent que tout travailleur sur le lieu de construction soit correctement enregistré et assuré.

Le 22 mai 2023, après un contrôle de routine effectué par",0
"Faits: **Faits :**

1. **Participants :**
   - **Demandeur :** Monsieur Jacques Dupont, résident de Genève, Suisse.
   - **Défendeur :** La Commune de Lausanne, représentée par son Conseil communal.
   - **Autres parties impliquées :** La société immobilière ""ImmoPro SA"", propriétaire d'un immeuble situé à Lausanne.

2. **Événements :**
   - En 2020, Monsieur Dupont a acheté un appartement dans un immeuble nouvellement construit situé à Lausanne, géré par ""ImmoPro SA"".
   - En 2022, Monsieur Dupont a décidé de réaliser des travaux de rénovation dans son appartement sans informer préalablement ""ImmoPro SA"" ni obtenir les autorisations nécessaires auprès de la Commune de Lausanne.
   - Les travaux effectués par Monsieur Dupont ont consisté à démolir un mur intérieur non porteur, ce qui a modifié la structure de l'immeuble et compromis la stabilité de l'édifice.
   - La Commune de Lausanne a été alertée par un voisin des travaux non autorisés et a mené une enquête.
   - Il s'est avéré que Monsieur Dupont n'avait pas respecté les règlements de la Commune concernant les travaux de rénovation, ni obtenu les permis nécessaires avant de commencer les travaux.
   - La Commune de Lausanne a ouvert une poursuite administrative contre Monsieur Dupont pour violation des régulations locales et a exigé",0
"Faits: Faits :

En Suisse, M. Jean Dubois, entrepreneur du canton de Vaud, a été embauché par Mme Sophie Martin, propriétaire d'une villa à Lausanne, pour effectuer des travaux de rénovation dont la finition ne requiert pas une licence.

M. Dubois et son équipe ont démarré les travaux en mars 2022. Les travaux prévus étaient principalement des rénovations de surface, comme la peinture, la pose de parquet et la rénovation des pièces humides.

Le 1er avril 2022, durant la déconstruction d'une ancienne cloison de séparation entre deux pièces, M. Dubois et ses ouvriers ont découvert une ancienne conduite d'eau endommagée. Craignant que cela puisse causer des dégâts importants si laissée telle quelle, M. Dubois a décidé de réparer la conduite sans en informer préalablement Mme Martin.

Après la réparation, M. Dubois a continué les travaux sans rencontrer d'autres incidents jusqu'à la fin des travaux en juin 2022. Mme Martin a été satisfaite des rénovations et a payé la facture en entier.

Cependant, trois mois plus tard, Mme Martin a découvert que la conduite réparée par M. Dubois n'était pas conforme aux normes de sécurité en vigueur. La conduite utilisé ne respectait pas les normes en matière de qualité pour les conduites d'eau potable.

Mme Martin a alors contacté le tribunal cantonal de Vaud pour demander",0
"Faits: **Faits :**

M. Laurent Dubois, vivant à Genève, est propriétaire de la Villa Serenitas, une résidence de luxe qu'il loue saisonnièrement via une plateforme de location de vacances en ligne. En 2022, M. Dubois a loué la villa à M. et Mme Martin, un couple français en vacances pour deux semaines en août. Le contrat de location stipulait clairement que la villa ne pouvait pas accueillir plus de six personnes et qu'une caution de 2 000 francs suisses devait être déposée avant l'entrée des locataires.

Cependant, lors de leur séjour, M. et Mme Martin ont invité une famille de quatre amis à partager leur location, portant ainsi le nombre total d'occupants à dix personnes. Cette violation de la clause contractuelle n'a pas été signalée à M. Dubois. À la fin de leur séjour, les locataires ont quitté la villa dans un état désordonné, avec des dommages notables aux tissus des meubles et des taches sur les murs. M. Dubois a exigé la caution de 2 000 francs suisses pour couvrir les frais de nettoyage et les dommages. M. et Mme Martin ont refusé de payer, affirmant que la villa était en bon état à leur départ.

M. Dubois a alors déposé une plainte auprès de la commission de conciliation de Genève, réclamant la restitution de la caution et un",0
"Faits: **Faits :**

1. **Parties en cause :**
   - **Demandeur :** Pierre Dupont, résident de Genève.
   - **Défendeur :** Société Alpha SA, basée à Zurich.

2. **Contexte et événements :**
   - Pierre Dupont a signé un contrat de travail avec la Société Alpha SA le 1er janvier 2018 en qualité de directeur marketing.
   - Le contrat stipule un salaire annuel de 120'000 CHF, ainsi que diverses primes basées sur la performance.
   - En 2020, la direction de la Société Alpha SA, en la personne de Monsieur André Chevalier, directeur général, a décidé de supprimer la prime de performance sans aucune justification écrite ni consultation préalable de Pierre Dupont.

3. **Violations alléguées :**
   - Pierre Dupont soutient que la suppression de la prime de performance constitue une modification unilatérale du contrat de travail sans son consentement, ce qui constitue une violation de l'article 337 CO (Code des obligations suisse).
   - Il allègue également que cette décision a causé un préjudice financier important, car la prime représentait environ 20% de son revenu annuel.
   - Pierre Dupont a tenté de résoudre la situation de manière amiable avec la direction de la Société Alpha SA, mais ses demandes de négociation n'ont été ignorées.

4. **Revend",1
"Faits: Faits :

Madame Isabelle Schneider, une ressortissante suisse résidant à Lausanne, a été embauchée en février 2018 par la société TechInnov SA, établie à Zurich, en tant que responsable des ressources humaines. Son contrat de travail stipulait un salaire annuel de CHF 120 000, avec des augmentations annuelles basées sur des évaluations de performance. L'accord de travail prévoyait également des primes annuelles variables dépendant des résultats de l'entreprise.

En juin 2021, Madame Schneider a demandé une augmentation de salaire en se basant sur une évaluation de performance exceptionnelle et sur les promesses faites par son supérieur hiérarchique, Monsieur Frédéric Muller, lors de son entretien annuel de performance. Monsieur Müller lui avait assuré lors de cet entretien que, en cas de résultats aussi performants, elle obtiendrait une augmentation substantielle.

En octobre 2021, malgré ses attentes, Madame Schneider n'a reçu aucun avis concernant une nouvelle augmentation de salaire. Lorsque Madame Schneider a sollicité une réunion avec M. Müller pour discuter de cette question, celui-ci a répondu par écrit en indiquant un refus explicite en se basant sur la politique interne de l'entreprise et sur la conjoncture économique défavorable.

En parallèle, Madame Schneider avait effectué des heures supplémentaires non rémunérées en juillet et août 2021 en raison d'un projet urgent de l'entreprise",1
"Faits: Faits :

Monsieur Dupont, résident de Genève, a entendu par les médias locaux que l'appel d'offres pour un projet de rénovation de bâtiments scolaires dans la commune était en cours. Sans participer officiellement à l'appel d'offres, Monsieur Dupont a décidé de se directement présenter aux responsables de l'administration communale pour proposer ses services. Il a déposé plusieurs documents illisibles et incomplets, violant ainsi les règles strictes de l'appel d'offres. De plus, Monsieur Dupont a utilisé des relations personnelles pour tenter d'influencer les responsables de l'administration communale, ce qui est considéré comme une tentative de corruption par la législation suisse (Art. 322 bis du Code pénal suisse).

Malgré ces fraudes, Monsieur Dupont a été auditionné par les autorités locales, qui ont rejeté sa candidature pour des raisons formelles et de transparence. Déçu par cette décision, il a ensuite intenté une action devant le Tribunal fédéral suisse, contestant la régularité de la procédure et la transparence de la sélection.",0
